x_coordinate,y_coordinate,Cell_Type,TCN_Label
-2930.225811,3962.593893,196 PAG-PPN Pax5 Sox21 Gaba,8
-2858.585262,3883.919983,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-3026.168443,3974.725075,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-3027.026142,3984.395071,181 IC Tfap2d Maf Glut,2
-2997.148342,3941.676495,049 Lamp5 Gaba,8
-2995.419689,3832.512694,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2959.054804,3964.416958,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2916.809889,4006.019854,068 LSX Otx2 Gaba,2
-2876.470373,3831.662506,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-3033.813912,4136.290706,173 PAG Pou4f2 Glut,2
-3028.042789,4031.903564,199 PAG-MRN-RN Foxa2 Gaba,2
-3023.926375,4193.730961,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-3016.480588,4070.623181,199 PAG-MRN-RN Foxa2 Gaba,2
-3014.166086,4202.983057,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-3014.923616,4081.295655,196 PAG-PPN Pax5 Sox21 Gaba,2
-3015.818224,4175.446976,196 PAG-PPN Pax5 Sox21 Gaba,2
-3001.170178,4134.731934,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2996.947149,4040.874292,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2997.438171,4165.690005,196 PAG-PPN Pax5 Sox21 Gaba,2
-3000.413001,4063.344363,196 PAG-PPN Pax5 Sox21 Gaba,2
-2991.843342,4022.544097,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2988.961156,4124.935998,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2985.19862,4157.715946,199 PAG-MRN-RN Foxa2 Gaba,2
-2986.893841,4114.693089,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2986.694977,4207.696178,073 MEA-BST Sox6 Gaba,2
-2981.186739,4046.505323,199 PAG-MRN-RN Foxa2 Gaba,2
-2974.2812,4110.95678,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2973.867539,4160.518352,073 MEA-BST Sox6 Gaba,2
-2969.819458,4188.110305,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2966.561761,4063.709486,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2959.856452,4099.622987,199 PAG-MRN-RN Foxa2 Gaba,2
-2957.011139,4139.426738,199 PAG-MRN-RN Foxa2 Gaba,2
-2954.266446,4205.26201,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2950.293763,4047.865505,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2944.002464,4135.8088,199 PAG-MRN-RN Foxa2 Gaba,2
-2946.563829,4062.236348,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2937.741729,4163.461748,199 PAG-MRN-RN Foxa2 Gaba,2
-2939.841513,4185.242685,131 LHA-AHN-PVH Otp Trh Glut,2
-2936.839016,4132.935772,106 PVpo-VMPO-MPN Hmx2 Gaba,2
-2937.452848,4057.720908,199 PAG-MRN-RN Foxa2 Gaba,2
